접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2022,11290,성북구,10300,돈암동,1,대지,642,0,돈암동해피트리,2022-06-18,124000,132.43,8.0,2013.0,아파트,2022,6,936.34,283.24,1,성북구 돈암동 642,37.5979908,127.0116912
2017,11350,노원구,10600,중계동,1,대지,505,0,롯데(505),2017-07-21,43500,72.49,5.0,1989.0,아파트,2017,7,600.08,181.53,1,노원구 중계동 505,37.6387852,127.0624881
2014,11140,중구,14500,광희동1가,1,대지,143,2,(143-2)	,2014-12-09,14000,24.96,7.0,2001.0,오피스텔,2014,12,560.9,169.67,1,중구 광희동1가 143-2,37.5656188,127.0063765
2019,11350,노원구,10600,중계동,1,대지,359,1,주공5,2019-09-05,52600,58.46,13.0,1992.0,아파트,2019,9,899.76,272.18,1,노원구 중계동 359-1,37.652831,127.0759265
2018,11740,강동구,11000,강일동,1,대지,673,0,강일리버파크4단지,2018-02-03,60000,84.74,4.0,2009.0,아파트,2018,2,708.05,214.18,1,강동구 강일동 673,37.5673035,127.1762976
2022,11380,은평구,10800,역촌동,1,대지,57,18,가람채,2022-02-21,23000,29.97,5.0,2016.0,연립다세대,2022,2,767.43,232.15,1,은평구 역촌동 57-18,37.6047725,126.9119941
2014,11710,송파구,11400,마천동,1,대지,20,0,신동아,2014-10-28,24600,59.88,1.0,2001.0,아파트,2014,10,410.82,124.27,1,송파구 마천동 20,37.500426,127.1447733
2018,11650,서초구,10800,서초동,1,대지,1687,0,유원서초,2017-12-30,105000,84.87,1.0,1993.0,아파트,2017,12,1237.19,374.25,1,서초구 서초동 1687,37.4962993,127.0182658
2013,11620,관악구,10100,봉천동,1,대지,1717,0,관악푸르지오,2013-03-16,30000,59.58,19.0,2004.0,아파트,2013,3,503.52,152.32,1,관악구 봉천동 1717,37.4873109,126.9608651
2017,11215,광진구,10500,자양동,1,대지,617,39,그레이스빌,2017-07-22,19500,26.96,1.0,2017.0,연립다세대,2017,7,723.29,218.8,1,광진구 자양동 617-39,37.5327768,127.0795189
2015,11290,성북구,13600,하월곡동,1,대지,228,0,꿈의숲푸르지오,2015-10-10,50750,114.61,10.0,2010.0,아파트,2015,10,442.81,133.95,1,성북구 하월곡동 228,37.610769,127.0389931
2015,11290,성북구,13400,길음동,1,대지,1013,19,명가보고빌26차,2015-05-08,24000,63.12,3.0,2002.0,연립다세대,2015,5,380.23,115.02,1,성북구 길음동 1013-19,37.6068855,127.0250455
2017,11215,광진구,10300,구의동,1,대지,23,23,롯데빌리지(23-23),2017-02-23,26500,64.71,1.0,1995.0,연립다세대,2017,2,409.52,123.88,1,광진구 구의동 23-23,37.553011,127.095353
2019,11260,중랑구,10600,신내동,1,대지,785,0,건영2차,2019-04-04,38150,57.3,15.0,1996.0,아파트,2019,4,665.79,201.4,1,중랑구 신내동 785,37.6016769,127.0957192
2016,11680,강남구,11000,압구정동,1,대지,456,0,"현대6차(78~81,83,84,86,87동)",2016-06-21,230000,157.36,1.0,1978.0,아파트,2016,6,1461.62,442.14,1,강남구 압구정동 456,37.5299336,127.0289047
2022,11680,강남구,10100,역삼동,1,대지,708,16,능현오피스텔,2022-05-09,23000,29.65,10.0,2004.0,오피스텔,2022,5,775.72,234.65,1,강남구 역삼동 708-16,37.503433,127.0478147
2018,11320,도봉구,10700,창동,1,대지,38,0,주공17단지,2018-07-03,18200,36.16,2.0,1989.0,아파트,2018,7,503.32,152.25,1,도봉구 창동 38,37.6442061,127.0533829
2014,11500,강서구,10600,내발산동,1,대지,749,0,마곡수명산파크5단지,2014-02-21,34500,59.76,7.0,2008.0,아파트,2014,2,577.31,174.64,1,강서구 내발산동 749,37.5519892,126.827068
2016,11410,서대문구,10200,충정로3가,1,대지,189,8,미동,2016-12-03,19500,52.46,8.0,1969.0,아파트,2016,12,371.71,112.44,1,서대문구 충정로3가 189-8,37.563232,126.9641531
2019,11440,마포구,10200,공덕동,1,대지,467,0,롯데캐슬프레지던트,2019-09-20,215000,191.53,35.0,2009.0,아파트,2019,9,1122.54,339.57,1,마포구 공덕동 467,37.544931,126.9505963
2018,11230,동대문구,10600,장안동,1,대지,426,8,서도휴빌(426-8),2018-09-12,22000,37.08,5.0,2018.0,연립다세대,2018,9,593.31,179.48,1,동대문구 장안동 426-8,37.5655676,127.0656907
2015,11680,강남구,11800,도곡동,1,대지,895,8,한신엠비씨,2014-12-30,87000,117.57,7.0,1988.0,아파트,2014,12,739.98,223.85,1,강남구 도곡동 895-8,37.4878517,127.0402271
2022,11530,구로구,10900,궁동,1,대지,294,0,궁동에스하임1,2022-03-31,38450,58.41,1.0,2022.0,연립다세대,2022,3,658.28,199.13,1,구로구 궁동 294,37.5004389,126.8285296
2011,11620,관악구,10100,봉천동,1,대지,100,25,드림하우스,2011-09-30,23500,68.87,2.0,2010.0,연립다세대,2011,9,341.22,103.22,1,관악구 봉천동 100-25,37.4828441,126.9600653
2022,11710,송파구,11200,오금동,1,대지,46,8,정한빌라,2022-03-05,28000,47.07,2.0,1995.0,연립다세대,2022,3,594.86,179.94,1,송파구 오금동 46-8,37.5041072,127.1273142
2012,11680,강남구,11500,수서동,1,대지,746,0,까치마을,2012-02-09,34500,39.6,14.0,1993.0,아파트,2012,2,871.21,263.54,1,강남구 수서동 746,37.4847337,127.0876186
2016,11230,동대문구,11000,이문동,1,대지,225,0,대림e-편한세상,2016-07-23,38500,59.96,9.0,2003.0,아파트,2016,7,642.09,194.23,1,동대문구 이문동 225,37.6045226,127.0649732
2016,11440,마포구,12300,망원동,1,대지,458,102,일진주택,2016-08-25,40350,58.43,3.0,2002.0,연립다세대,2016,8,690.57,208.9,1,마포구 망원동 458-102,37.5518554,126.9042409
2020,11620,관악구,10100,봉천동,1,대지,866,6,덕산스테이트,2020-01-10,17200,19.14,10.0,2017.0,오피스텔,2020,1,898.64,271.84,1,관악구 봉천동 866-6,37.479446,126.9513488
2022,11530,구로구,10700,개봉동,1,대지,307,55,영진빌라(307-55),2022-05-02,10500,34.23,-1.0,1986.0,연립다세대,2022,5,306.75,92.79,1,구로구 개봉동 307-55,37.49470120000001,126.8505546
2013,11590,동작구,10700,사당동,1,대지,105,0,극동(105),2013-07-04,48950,109.7,10.0,1993.0,아파트,2013,7,446.22,134.98,1,동작구 사당동 105,37.4896386,126.9759403
2017,11350,노원구,10600,중계동,1,대지,588,0,양지마을(대림)2,2017-03-07,33600,59.4,19.0,1999.0,아파트,2017,3,565.66,171.11,1,노원구 중계동 588,37.6534321,127.072311
