접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2019,11350,노원구,10500,상계동,1,대지,1256,0,2.0,20181222,전세,39.7,15000,0,은빛2단지,1998.0,아파트,노원구 상계동 1256,37.6799626,127.0535049,377.83,114.29
2022,11710,송파구,10800,문정동,1,대지,622,0,7.0,20220217,월세,29.96,1000,82,송파한화오벨리스크,2013.0,오피스텔,송파구 문정동 622,37.4800949,127.1196836,33.38,10.1
2013,11470,양천구,10200,목동,1,대지,925,0,15.0,20130225,전세,66.6,28000,0,목동신시가지7,1986.0,아파트,양천구 목동 925,37.5288229,126.8678406,420.42,127.18
2020,11560,영등포구,13200,신길동,1,대지,4964,0,12.0,20200210,전세,59.98,50000,0,신길센트럴자이아파트,2021.0,아파트,영등포구 신길동 4964,37.5030677,126.9077516,833.61,252.17
2013,11560,영등포구,12700,양평동3가,1,대지,54,0,5.0,20130225,전세,94.79,23000,0,양평동 대우이안2,2005.0,오피스텔,영등포구 양평동3가 54,37.5270284,126.8893734,242.64,73.4
2022,11590,동작구,10200,상도동,1,대지,900,0,3.0,20220301,월세,84.89,20000,215,상도파크자이,2016.0,아파트,동작구 상도동 900,37.5057831,126.9383233,235.6,71.27
2018,11740,강동구,11000,강일동,1,대지,674,0,9.0,20181010,전세,84.53,40000,0,강일리버파크3단지,2009.0,아파트,강동구 강일동 674,37.5667207,127.1747157,473.2,143.14
2015,11500,강서구,10500,마곡동,1,대지,784,0,5.0,20150717,월세,17.96,500,40,마곡경동미르웰,2015.0,오피스텔,강서구 마곡동 784,37.566206,126.8402258,27.84,8.42
2014,11710,송파구,10200,신천동,1,대지,17,6,3.0,20140405,전세,46.54,20000,0,미성,1980.0,아파트,송파구 신천동 17-6,37.517514,127.1070384,429.74,130.0
2018,11440,마포구,11100,신수동,1,대지,22,35,9.0,20181130,월세,31.83,1000,75,하나테크노빌,2002.0,아파트,마포구 신수동 22-35,37.548517,126.9400194,31.42,9.5
2012,11680,강남구,11500,수서동,1,대지,746,0,6.0,20120917,전세,34.44,15500,0,까치마을,1993.0,아파트,강남구 수서동 746,37.4847337,127.0876186,450.06,136.14
2021,11530,구로구,10800,오류동,1,대지,156,15,3.0,20211023,전세,75.87,20000,0,현대연립,1985.0,연립다세대,구로구 오류동 156-15,37.4890753,126.8412519,263.61,79.74
2013,11305,강북구,10300,수유동,1,대지,45,93,2.0,20130927,전세,30.8,6000,0,대성월드빌,2002.0,아파트,강북구 수유동 45-93,37.6351792,127.0215197,194.81,58.93
2022,11380,은평구,10300,불광동,1,대지,329,7,6.0,20220513,전세,42.23,27000,0,행복공간,2013.0,연립다세대,은평구 불광동 329-7,37.618087,126.9256774,639.36,193.41
